id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,image_link
3151,Audivit dominus et misertus,g00670,7,,,PL-Wn rps 12722 V,,049v,,,,feast_0762,,,http://cantus.ispan.pl/source/4559,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nmno--nml---l---nn--ln---jklm--l--mlmmkh---k--kl---lkkghg---jklm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/28799
3156,Audivit dominus et misertus,g00670,7,,,PL-WRu I F 414,,015v,,,,feast_0762,,,http://cantus.ispan.pl/source/36027,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/36179
3159,Audivit dominus et misertus,g00670,7,,,PL-WRu I F 416,,027r,,,,feast_0762,,,http://cantus.ispan.pl/source/41816,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--om-np--nml---l---oo--lmk-kj---jk-lm--l--ml-mokh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,http://cantus.ispan.pl/node/42236
3171,Audivit dominus et misertus est mihi,g00670,,,,I-BGc : MA 239 (Gamma III.18),,033v,,,,feast_0762,genre_in,,http://musmed.eu/source/8805,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--gkj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---klm--l--ml-mnkh---kj--kl---lkk-hjh---klm--lmkjh--kk---kh-jg--g,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3903#page/74/mode/1up
3172,Audivit dominus et misertus est mihi,g00670,,,,V-CVbav : Vat.lat.05319,,040v,,,,feast_0762,genre_in,,http://musmed.eu/source/8805,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,h--j--k---l--kl--lnmlnml---k---l--ln-ono--on-nnml---nml---n-nnml--lmkj-klkj---kl--l--lmlk-kkjh-kl---kl--l---lml-kkjh-kl---llk--klm--lklk---kmlk-llkj--kj,,https://digi.vatlib.it/view/MSS_Vat.lat.5319/88
3176,Audivit dominus et misertus est mihi,g00670,,,,D-B : Ms mus 40078,,044v,,,,feast_0762,genre_in,,http://musmed.eu/source/8817,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kk--k---kml--l--l---k---l--mnoon--nml---l---nn--lmkkj---jjlm--l--ml-mmkh---kk--kl---lkk-ghg---jk-kkml--lmkh--kk---khkg--g,,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN782404677&view=overview-toc&PHYSID=PHYS_0092&DMDID=DMDLOG_0001
3178,Audivit dominus et misertus est mihi,g00670,7,,,F-Pn : NAL 01414,,017v,,,,feast_0762,genre_in,,http://musmed.eu/source/28426,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lkk-ghg---jk-lm--lmkh--kk---khkg--g,,https://gallica.bnf.fr/ark:/12148/btv1b525113345/f40.image
3186,Audivit dominus et misertus est mihi,g00670,,,,F-G : Ms 0084 (Ms. 395 Rés.),,106r,,,,feast_0762,genre_in,,http://musmed.eu/source/10075,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---jklm--l--ml-lmkh---kk--kl---lkjkjhghg---jklm--lmkh--kk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b10670666x/f217.item
3191,Audivit dominus et misertus est mihi,g00670,7,,,F-Pn : Ms Lat 00903,,034v,,,,feast_0762,genre_in,,http://musmed.eu/source/13022,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nm-no--nml---l---nn--lmkj---jklm--l--ml-mnkh---kk--kl---lk-kjhghg---jklm--lmkh--kk---khjg--g,,https://gallica.bnf.fr/ark:/12148/btv1b10506538t/f86.image
3192,Audivit dominus et misertus est mihi,g00670,,,,I-BGc : MA 150 (Psi III.8),,019v,,,,feast_0762,genre_in,,http://musmed.eu/source/41838,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--kj--k---kml--l--l---k---l--nno--nm---l---nn--lmkh---km--l--ml-mnkh---k--kl---lkjkjhghg---jklm--lmkjh--kk---khjg--g,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3862#page/44/mode/1up
3193,Audivit dominus et misertus est mihi,g00670,,,,D-KNd : Ms 1001b,,048r,,,,feast_0762,genre_in,,http://musmed.eu/source/11493,,,Audivit dominus et misertus est mihi dominus factus est adjutor meus,,g--gkj--k---kml--l--l---k---l--nmno--nml---l---nn--lmk-kj---jk-lm--l--ml-mnkh---kk--kl---lk-khjh---jk-lm--lmkh--kk---khjg--g,,https://digital.dombibliothek-koeln.de/hs/content/zoom/311524
