model	loglik
tree0	-5013.19
tree10	-5009.07
tree11	-5013.10
tree12	-5013.83
tree13	-5011.36
tree14	-5006.61
tree15	-5014.08
tree16	-5008.13
tree17	-5002.00
tree18	-4991.14
tree19	-4996.56
tree1	-5002.66
tree20	-4998.44
tree21	-5003.32
tree22	-5000.07
tree23	-4999.34
tree24	-4991.32
tree25	-4998.42
tree26	-4999.34
tree27	-4995.58
tree28	-4996.44
tree29	-4993.97
tree2	-5014.07
tree30	-4997.66
tree31	-4997.95
tree32	-4997.44
tree33	-4994.75
tree34	-5008.90
tree35	-5006.57
tree36	-5010.17
tree37	-5012.80
tree38	-5005.80
tree39	-5003.61
tree3	-5003.27
tree40	-5006.50
tree41	-5011.31
tree42	-5009.60
tree4	-5009.23
tree5	-5001.68
tree6	-5003.93
tree7	-5008.55
tree8	-5010.12
tree9	-5003.74
