tip_ID,post-quam,ante-quem
_A_Gu_Ms_0807,1100,1199
_CH_ROM_Ms_liturg_FiD_5,1200,1269
_D_B_Ms_mus_40078,1100,1199
_D_HEu_Cod_Sal_X_007,1220,1230
_D_KNd_Ms_1001b,1299,1299
_D_LEu_Ms_Thomas_391,1275,1299
_F_CA_Ms_0061_62,1100,1125
_F_G_Ms_0084_Ms_395_Res,1175,1199
_F_NS_Ms_0004,1100,1199
_F_PR_Ms_0012,1205,1230
_F_Pa_Ms_0197,1270,1297
_F_Pn_Ms_Lat_00833,1175,1199
_F_Pn_Ms_Lat_17307,1170,1199
_F_Pn_NAL_01235,1100,1199
_F_Pn_NAL_01414,1100,1199
_F_SEm_Ms_018,1200,1299
_I_BGc_MA_150_Psi_III_8,1100,1150
_I_BGc_MA_239_Gamma_III_18,1075,1099
_NL_Uu_Hs_0415,1450,1499
_PL_WRu_I_F_414,1200,1299
_PL_WRu_I_F_416,1300,1399
_PL_Wn_rps_12722_V,1350,1400
_V_CVbav_Ross_0076,1200,1299
