tip_ID,century,provCoarse,provenanceFine,cursusDetailed,cursusCoarse,provEWSCist,provEWS
_A_Gu_Ms_0807,12th,Austria,SouthGerman,Benedictine,Monastic,East,East
_CH_ROM_Ms_liturg_FiD_5,13th,Switzerland,SouthGerman,Cistercian,Monastic,Cist,West
_D_B_Ms_mus_40078,12th,Germany,NorthGerman,Canons,secular,East,East
_D_HEu_Cod_Sal_X_007,13th,Germany,SouthGerman,Cistercian,Monastic,Cist,West
_D_KNd_Ms_1001b,13th,Germany,NorthGerman,Franciscan,Monastic,East,East
_D_LEu_Ms_Thomas_391,13th,Germany,NorthGerman,Augustinian,Monastic,East,East
_F_CA_Ms_0061_62,12th,France,NorthFrench,Canons,secular,West,West
_F_G_Ms_0084_Ms_395_Res,12th,France,SouthFrench,Carthusian,Monastic,West,West
_F_NS_Ms_0004,12th,France,SouthFrench,Carthusian,Monastic,West,West
_F_PR_Ms_0012,13th,France,CentralFrench,secular,secular,West,West
_F_Pa_Ms_0197,13th,France,CentralFrench,Canons,secular,West,West
_F_Pn_Ms_Lat_00833,12th,France,NorthFrench,secular,secular,West,West
_F_Pn_Ms_Lat_17307,12th,France,NorthFrench,Benedictine,Monastic,West,West
_F_Pn_NAL_01235,12th,France,CentralFrench,secular,secular,West,Weest
_F_Pn_NAL_01414,12th,Italy,NorthItaly,Cistercian,Monastic,Cist,West
_F_SEm_Ms_018,13th,France,CentralFrench,Benedictine,Monastic,West,West
_I_BGc_MA_150_Psi_III_8,12th,Italy,NorthItaly,Canons,secular,South,South
_I_BGc_MA_239_Gamma_III_18,12th,Italy,NorthItaly,secular,secular,South,South
_NL_Uu_Hs_0415,15th,LowCountries,NorthFrench,Augustinian,Monastic,West,West
_PL_WRu_I_F_414,13th,Poland,Poland,Cistercian,Monastic,Cist,West
_PL_WRu_I_F_416,14th,Poland,Poland,Cistercian,Monastic,Cist,West
_PL_Wn_rps_12722_V,14th,Poland,Poland,Benedictine,Monastic,East,East
_V_CVbav_Ross_0076,13th,Italy,Aquileia,secular,secular,East,East
