Christmas;Delta plot;Q-Residual
_A_VOR_Cod_259_I;0,213908;0,021194
_A_Wn_1799;0,168517;0,019109
_CDN_Hsmu_M2149_L4;0,171846;0,016425
_CH_E_611;0,226674;0,020935
_CZ_HKm_II_A_4;0,216194;0,022666
_CZ_PLm_504_C_004;0,330251;0,053224
_CZ_Pn_XV_A_10;0,264098;0,027985
_CZ_Pu_I_D_20;0,266709;0,025885
_CZ_Pu_XVII_E_1;0,238678;0,031891
_D_KA_Aug_LX       ;0,275663;0,030755
_D_KNd_1161;0,188469;0,027262
_F_Pn_lat_12044;0,219513;0,027425
_F_Pn_lat_15181;0,228941;0,025282
_NL_Uu_406;0,199487;0,025118
AVERAGE;0,229211;0,026797
