Introits;Delta plot;Q-Residual
_A_Gu_Ms_0807;0,269409;0,007494
_CH_ROM_Ms_liturg_FiD_5;0,264711;0,005579
_D_B_Ms_mus_40078;0,260949;0,007432
_D_HEu_Cod_Sal_X_007;0,275882;0,005583
_D_KNd_Ms_1001b;0,328021;0,007579
_D_LEu_Ms_Thomas_391;0,250502;0,00617
_F_CA_Ms_0061_62;0,358814;0,011043
_F_G_Ms_0084_Ms_395_Res;0,31001;0,007113
_F_NS_Ms_0004;0,313207;0,00677
_F_PR_Ms_0012;0,347853;0,007465
_F_Pa_Ms_0197;0,332231;0,007868
_F_Pn_Ms_Lat_00833;0,35134;0,007132
_F_Pn_Ms_Lat_17307;0,332742;0,009563
_F_Pn_NAL_01235;0,312034;0,007038
_F_Pn_NAL_01414;0,259233;0,005408
_F_SEm_Ms_018;0,348649;0,007994
_I_BGc_MA_150_Psi_III_8;0,34616;0,008535
_I_BGc_MA_239_Gamma_III_18;0,357674;0,009058
_NL_Uu_Hs_0415;0,266907;0,007567
_PL_WRu_I_F_414;0,30125;0,007982
_PL_WRu_I_F_416;0,262145;0,00535
_PL_Wn_rps_12722_V;0,253082;0,005714
_V_CVbav_Ross_0076;0,269554;0,00926
AVERAGE;0,303146043478261;0,00742160869565217
